complexity,object_count,triangles_per_mesh,mode,budget_ms,budget_kind,ray_count,selected_p95_ms,safe_stop_rate
4x,100,480,scene-bvh,2.0,standard,361,0.45043574999999964,1.0
4x,100,480,scene-bvh,5.0,standard,361,0.45043574999999964,1.0
4x,100,480,scene-bvh,8.0,standard,361,0.45043574999999964,1.0
4x,100,480,scene-bvh,114.48011629999996,convergence,361,0.45043574999999964,1.0
4x,400,480,true-brute,0.5,standard,0,4.2e-05,0.0
4x,400,480,true-brute,1.0,standard,0,4.2e-05,0.0
4x,400,480,true-brute,2.0,standard,0,4.2e-05,0.0
4x,400,480,true-brute,5.0,standard,0,4.2e-05,0.0
4x,400,480,true-brute,8.0,standard,5,7.307088949999998,0.34097222222222223
4x,400,480,true-brute,691.4095512499995,convergence,361,628.5541374999995,1.0
4x,400,480,mesh-bvh,0.5,standard,17,0.4673792,0.6118055555555556
4x,400,480,mesh-bvh,1.0,standard,33,0.8304249999999995,0.9840277777777777
4x,400,480,mesh-bvh,2.0,standard,33,0.8304249999999995,0.9840277777777777
4x,400,480,mesh-bvh,5.0,standard,257,4.968289549999997,1.0
4x,400,480,mesh-bvh,8.0,standard,361,5.594471149999996,1.0
4x,400,480,mesh-bvh,691.4095512499995,convergence,361,5.594471149999996,1.0
4x,400,480,scene-bvh,0.5,standard,361,0.48310865000000003,1.0
4x,400,480,scene-bvh,1.0,standard,361,0.48310865000000003,1.0
4x,400,480,scene-bvh,2.0,standard,361,0.48310865000000003,1.0
4x,400,480,scene-bvh,5.0,standard,361,0.48310865000000003,1.0
4x,400,480,scene-bvh,8.0,standard,361,0.48310865000000003,1.0
4x,400,480,scene-bvh,691.4095512499995,convergence,361,0.48310865000000003,1.0
16x,25,1920,true-brute,0.5,standard,0,8.4e-05,0.0
16x,25,1920,true-brute,1.0,standard,0,8.4e-05,0.0
16x,25,1920,true-brute,2.0,standard,0,8.4e-05,0.0
16x,25,1920,true-brute,5.0,standard,9,3.8175003499999995,0.34097222222222223
16x,25,1920,true-brute,8.0,standard,9,3.8175003499999995,0.34097222222222223
16x,25,1920,true-brute,136.58249951499997,convergence,361,124.16590864999996,1.0
16x,25,1920,mesh-bvh,0.5,standard,361,0.34285659999999996,1.0
16x,25,1920,mesh-bvh,1.0,standard,361,0.34285659999999996,1.0
16x,25,1920,mesh-bvh,2.0,standard,361,0.34285659999999996,1.0
16x,25,1920,mesh-bvh,5.0,standard,361,0.34285659999999996,1.0
16x,25,1920,mesh-bvh,8.0,standard,361,0.34285659999999996,1.0
16x,25,1920,mesh-bvh,136.58249951499997,convergence,361,0.34285659999999996,1.0
16x,25,1920,scene-bvh,0.5,standard,361,0.31260269999999996,1.0
16x,25,1920,scene-bvh,1.0,standard,361,0.31260269999999996,1.0
16x,25,1920,scene-bvh,2.0,standard,361,0.31260269999999996,1.0
16x,25,1920,scene-bvh,5.0,standard,361,0.31260269999999996,1.0
16x,25,1920,scene-bvh,8.0,standard,361,0.31260269999999996,1.0
16x,25,1920,scene-bvh,136.58249951499997,convergence,361,0.31260269999999996,1.0
16x,100,1920,true-brute,0.5,standard,0,4.2e-05,0.0
16x,100,1920,true-brute,1.0,standard,0,4.2e-05,0.0
16x,100,1920,true-brute,2.0,standard,0,4.2e-05,0.0
16x,100,1920,true-brute,5.0,standard,0,4.2e-05,0.0
16x,100,1920,true-brute,8.0,standard,5,5.918935449999999,0.34097222222222223
16x,100,1920,true-brute,487.70449024,convergence,361,443.36771839999994,1.0
16x,100,1920,mesh-bvh,0.5,standard,129,0.36292915,1.0
16x,100,1920,mesh-bvh,1.0,standard,257,0.8745690499999994,1.0
16x,100,1920,mesh-bvh,2.0,standard,361,1.1113600999999993,1.0
16x,100,1920,mesh-bvh,5.0,standard,361,1.1113600999999993,1.0
16x,100,1920,mesh-bvh,8.0,standard,361,1.1113600999999993,1.0
16x,100,1920,mesh-bvh,487.70449024,convergence,361,1.1113600999999993,1.0
16x,100,1920,scene-bvh,0.5,standard,361,0.3592569,1.0
16x,100,1920,scene-bvh,1.0,standard,361,0.3592569,1.0
16x,100,1920,scene-bvh,2.0,standard,361,0.3592569,1.0
16x,100,1920,scene-bvh,5.0,standard,361,0.3592569,1.0
16x,100,1920,scene-bvh,8.0,standard,361,0.3592569,1.0
16x,100,1920,scene-bvh,487.70449024,convergence,361,0.3592569,1.0
16x,400,1920,true-brute,0.5,standard,0,4.2e-05,0.0
16x,400,1920,true-brute,1.0,standard,0,4.2e-05,0.0
16x,400,1920,true-brute,2.0,standard,0,4.2e-05,0.0
16x,400,1920,true-brute,5.0,standard,0,4.2e-05,0.0
16x,400,1920,true-brute,8.0,standard,0,4.2e-05,0.0
16x,400,1920,true-brute,3780.4246543249997,convergence,361,3436.7496857499996,1.0
16x,400,1920,mesh-bvh,0.5,standard,33,0.34454789999999996,0.9840277777777777
16x,400,1920,mesh-bvh,1.0,standard,65,0.67173715,1.0
16x,400,1920,mesh-bvh,2.0,standard,65,0.67173715,1.0
16x,400,1920,mesh-bvh,5.0,standard,361,3.60276105,1.0
16x,400,1920,mesh-bvh,8.0,standard,361,3.60276105,1.0
16x,400,1920,mesh-bvh,3780.4246543249997,convergence,361,3.60276105,1.0
16x,400,1920,scene-bvh,0.5,standard,361,0.373242,1.0
16x,400,1920,scene-bvh,1.0,standard,361,0.373242,1.0
16x,400,1920,scene-bvh,2.0,standard,361,0.373242,1.0
16x,400,1920,scene-bvh,5.0,standard,361,0.373242,1.0
16x,400,1920,scene-bvh,8.0,standard,361,0.373242,1.0
16x,400,1920,scene-bvh,3780.4246543249997,convergence,361,0.373242,1.0
