complexity,object_count,triangles_per_mesh,transition,from_mode,to_mode,ray_count,from_median_ms,to_median_ms,median_reduction_ms,median_speedup,from_p95_ms,to_p95_ms,p95_reduction_ms,p95_speedup
4x,100,480,true-brute_to_mesh-bvh,true-brute,mesh-bvh,257,64.253875,0.5350625,63.71881249999999,120.08667211774325,74.85157914999999,0.7119568999999999,74.13962224999999,105.1349866122514
4x,100,480,true-brute_to_mesh-bvh,true-brute,mesh-bvh,361,88.727833,0.907521,87.820312,97.76945437075285,104.07283299999996,1.9018728999999985,102.17096009999996,54.72123452623992
4x,100,480,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0,4.2e-05,4.1e-05,9.999999999999972e-07,1.024390243902439,4.2e-05,4.2e-05,0.0,1.0
4x,100,480,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,5,0.010875,0.0023545,0.0085205,4.618815035039287,0.03905144999999995,0.0034600999999999994,0.03559134999999995,11.286220051443589
4x,100,480,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,9,0.018521,0.00575,0.012771,3.2210434782608695,0.032375349999999976,0.008046149999999998,0.024329199999999978,4.023706990299706
4x,100,480,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,17,0.036063,0.0116875,0.024375499999999998,3.0856042780748663,0.04892979999999997,0.016341349999999998,0.03258844999999997,2.9942324226578574
4x,100,480,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,33,0.071958,0.0271245,0.0448335,2.65287839407178,0.09802674999999998,0.03767079999999998,0.06035595,2.6021945379445093
4x,100,480,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,65,0.1435835,0.046,0.0975835,3.121380434782609,0.18791699999999995,0.06223924999999999,0.12567774999999995,3.0192683877135407
4x,100,480,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,129,0.26268800000000003,0.1022085,0.16047950000000005,2.570118923572893,0.36063539999999994,0.2197520999999997,0.14088330000000024,1.6411010406726507
4x,100,480,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,257,0.5350625,0.224229,0.3108335,2.3862323785059023,0.7119568999999999,0.47849519999999984,0.23346170000000005,1.487908133665709
4x,100,480,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,361,0.907521,0.2931465,0.6143745,3.0957934002282137,1.9018728999999985,0.45043574999999964,1.451437149999999,4.22229563261797
4x,400,480,true-brute_to_mesh-bvh,true-brute,mesh-bvh,0,4.2e-05,4.2e-05,0.0,1.0,4.2e-05,8.4e-05,-4.2e-05,0.5
4x,400,480,true-brute_to_mesh-bvh,true-brute,mesh-bvh,5,5.610875,0.055,5.555875,102.01590909090909,7.307088949999998,0.06418365,7.242905299999998,113.84657852895556
4x,400,480,true-brute_to_mesh-bvh,true-brute,mesh-bvh,9,11.0479795,0.1038335,10.944146,106.4009158893806,15.31659999999996,0.12075419999999999,15.19584579999996,126.84113678861655
4x,400,480,true-brute_to_mesh-bvh,true-brute,mesh-bvh,17,21.611458,0.2198335,21.3916245,98.30830151000644,29.71939134999999,0.4673792,29.25201214999999,63.587321280022714
