complexity,object_count,triangles_per_mesh,budget_ms,budget_kind,transition,from_mode,to_mode,from_selected_p95_ms,to_selected_p95_ms,from_ray_count,to_ray_count,ray_count_gain,from_safe_stop_rate,to_safe_stop_rate,safe_stop_rate_gain,ci_low,ci_high,n_paired
1x,400,120,1.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.7633993999999998,0.37173299999999937,33,361,328,0.9840277777777777,1.0,0.015972222222222276,0.010399305555555556,0.022916666666666665,1440
1x,400,120,2.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,4.2e-05,1.48621075,0,129,129,0.0,1.0,1.0,1.0,1.0,1440
1x,400,120,2.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,1.48621075,0.37173299999999937,129,361,232,1.0,1.0,0.0,0.0,0.0,1440
1x,400,120,5.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,3.086708349999999,4.594518749999999,5,361,356,0.34097222222222223,1.0,0.6590277777777778,0.6347222222222222,0.6826388888888889,1440
1x,400,120,5.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,4.594518749999999,0.37173299999999937,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
1x,400,120,8.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,7.910157999999999,4.594518749999999,9,361,352,0.34097222222222223,1.0,0.6590277777777778,0.6347222222222222,0.6826388888888889,1440
1x,400,120,8.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,4.594518749999999,0.37173299999999937,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
1x,400,120,205.22889023999983,convergence,true-brute_to_mesh-bvh,true-brute,mesh-bvh,186.57171839999984,4.594518749999999,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
1x,400,120,205.22889023999983,convergence,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,4.594518749999999,0.37173299999999937,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
4x,25,480,0.5,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,0.4238026999999999,0.2396354,5,361,356,0.34097222222222223,1.0,0.6590277777777778,0.6347222222222222,0.6826388888888889,1440
4x,25,480,0.5,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.2396354,0.23021934999999996,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
4x,25,480,1.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,0.6500083499999999,0.2396354,9,361,352,0.34097222222222223,1.0,0.6590277777777778,0.6347222222222222,0.6826388888888889,1440
4x,25,480,1.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.2396354,0.23021934999999996,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
4x,25,480,2.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,1.647112199999999,0.2396354,17,361,344,0.6118055555555556,1.0,0.3881944444444444,0.3638888888888889,0.4125,1440
4x,25,480,2.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.2396354,0.23021934999999996,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
4x,25,480,5.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,2.6847931499999995,0.2396354,33,361,328,0.9840277777777777,1.0,0.015972222222222276,0.010399305555555556,0.022916666666666665,1440
4x,25,480,5.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.2396354,0.23021934999999996,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
4x,25,480,8.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,5.513372899999998,0.2396354,65,361,296,1.0,1.0,0.0,0.0,0.0,1440
4x,25,480,8.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.2396354,0.23021934999999996,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
4x,25,480,33.689266489999994,convergence,true-brute_to_mesh-bvh,true-brute,mesh-bvh,30.626605899999994,0.2396354,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
4x,25,480,33.689266489999994,convergence,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.2396354,0.23021934999999996,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
4x,100,480,0.5,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,4.2e-05,0.36063539999999994,0,129,129,0.0,1.0,1.0,1.0,1.0,1440
4x,100,480,0.5,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.36063539999999994,0.45043574999999964,129,361,232,1.0,1.0,0.0,0.0,0.0,1440
4x,100,480,1.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,4.2e-05,0.7119568999999999,0,257,257,0.0,1.0,1.0,1.0,1.0,1440
4x,100,480,1.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.7119568999999999,0.45043574999999964,257,361,104,1.0,1.0,0.0,0.0,0.0,1440
4x,100,480,2.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,1.45808125,1.9018728999999985,5,361,356,0.34097222222222223,1.0,0.6590277777777778,0.6347222222222222,0.6826388888888889,1440
4x,100,480,2.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,1.9018728999999985,0.45043574999999964,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
4x,100,480,5.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,2.7593152,1.9018728999999985,9,361,352,0.34097222222222223,1.0,0.6590277777777778,0.6347222222222222,0.6826388888888889,1440
4x,100,480,5.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,1.9018728999999985,0.45043574999999964,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
4x,100,480,8.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,5.895012499999999,1.9018728999999985,17,361,344,0.6118055555555556,1.0,0.3881944444444444,0.3638888888888889,0.4125,1440
4x,100,480,8.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,1.9018728999999985,0.45043574999999964,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
4x,100,480,114.48011629999996,convergence,true-brute_to_mesh-bvh,true-brute,mesh-bvh,104.07283299999996,1.9018728999999985,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
4x,100,480,114.48011629999996,convergence,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,1.9018728999999985,0.45043574999999964,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
4x,400,480,0.5,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,4.2e-05,0.4673792,0,17,17,0.0,0.6118055555555556,0.6118055555555556,0.5875,0.6361111111111111,1440
4x,400,480,0.5,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.4673792,0.48310865000000003,17,361,344,0.6118055555555556,1.0,0.3881944444444444,0.3638888888888889,0.4125,1440
4x,400,480,1.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,4.2e-05,0.8304249999999995,0,33,33,0.0,0.9840277777777777,0.9840277777777777,0.9770833333333333,0.9896006944444444,1440
4x,400,480,1.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.8304249999999995,0.48310865000000003,33,361,328,0.9840277777777777,1.0,0.015972222222222276,0.010399305555555556,0.022916666666666665,1440
4x,400,480,2.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,4.2e-05,0.8304249999999995,0,33,33,0.0,0.9840277777777777,0.9840277777777777,0.9770833333333333,0.9896006944444444,1440
4x,400,480,2.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.8304249999999995,0.48310865000000003,33,361,328,0.9840277777777777,1.0,0.015972222222222276,0.010399305555555556,0.022916666666666665,1440
4x,400,480,5.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,4.2e-05,4.968289549999997,0,257,257,0.0,1.0,1.0,1.0,1.0,1440
4x,400,480,5.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,4.968289549999997,0.48310865000000003,257,361,104,1.0,1.0,0.0,0.0,0.0,1440
4x,400,480,8.0,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,7.307088949999998,5.594471149999996,5,361,356,0.34097222222222223,1.0,0.6590277777777778,0.6347222222222222,0.6826388888888889,1440
4x,400,480,8.0,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,5.594471149999996,0.48310865000000003,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
4x,400,480,691.4095512499995,convergence,true-brute_to_mesh-bvh,true-brute,mesh-bvh,628.5541374999995,5.594471149999996,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
4x,400,480,691.4095512499995,convergence,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,5.594471149999996,0.48310865000000003,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
16x,25,1920,0.5,standard,true-brute_to_mesh-bvh,true-brute,mesh-bvh,8.4e-05,0.34285659999999996,0,361,361,0.0,1.0,1.0,1.0,1.0,1440
16x,25,1920,0.5,standard,mesh-bvh_to_scene-bvh,mesh-bvh,scene-bvh,0.34285659999999996,0.31260269999999996,361,361,0,1.0,1.0,0.0,0.0,0.0,1440
