complexity,budget_ms,comparison,left_mode,left_ray_count,right_mode,right_ray_count,metric,metric_label,difference,ci_low,ci_high,n_paired
1x,1.0,budget_1x_1_ms_true-brute_to_scene-bvh,scene-bvh,361,true-brute,17,collision_speed,Collision speed,-0.675880113563041,-0.7256958468740767,-0.6250256552116371,1440
1x,1.0,budget_1x_1_ms_true-brute_to_scene-bvh,scene-bvh,361,true-brute,17,undetected_collision_rate,Undetected-collision rate,0.0,0.0,0.0,1440
1x,2.0,budget_1x_2_ms_true-brute_to_mesh-bvh,mesh-bvh,361,true-brute,17,safe_stop_rate,Safe-stop rate,0.38819444444444445,0.3638888888888889,0.4125,1440
1x,2.0,budget_1x_2_ms_true-brute_to_mesh-bvh,mesh-bvh,361,true-brute,17,detection_range,Detection range,2.2884477143178135,2.145465899956964,2.4266996784303907,1440
1x,2.0,budget_1x_2_ms_true-brute_to_mesh-bvh,mesh-bvh,361,true-brute,17,unbraked_ttc,Unbraked TTC,0.7833333333333329,0.7358327546296293,0.8297563657407402,1440
1x,2.0,budget_1x_2_ms_true-brute_to_mesh-bvh,mesh-bvh,361,true-brute,17,stopping_margin,Stopping margin,2.3499999999999983,2.2074982638888874,2.4892690972222207,1440
1x,2.0,budget_1x_2_ms_true-brute_to_mesh-bvh,mesh-bvh,361,true-brute,17,collision_speed,Collision speed,-0.675880113563041,-0.7256958468740767,-0.6250256552116371,1440
1x,2.0,budget_1x_2_ms_true-brute_to_mesh-bvh,mesh-bvh,361,true-brute,17,undetected_collision_rate,Undetected-collision rate,0.0,0.0,0.0,1440
1x,2.0,budget_1x_2_ms_mesh-bvh_to_scene-bvh,scene-bvh,361,mesh-bvh,361,safe_stop_rate,Safe-stop rate,0.0,0.0,0.0,1440
1x,2.0,budget_1x_2_ms_mesh-bvh_to_scene-bvh,scene-bvh,361,mesh-bvh,361,detection_range,Detection range,0.0,0.0,0.0,1440
1x,2.0,budget_1x_2_ms_mesh-bvh_to_scene-bvh,scene-bvh,361,mesh-bvh,361,unbraked_ttc,Unbraked TTC,0.0,0.0,0.0,1440
1x,2.0,budget_1x_2_ms_mesh-bvh_to_scene-bvh,scene-bvh,361,mesh-bvh,361,stopping_margin,Stopping margin,0.0,0.0,0.0,1440
1x,2.0,budget_1x_2_ms_mesh-bvh_to_scene-bvh,scene-bvh,361,mesh-bvh,361,collision_speed,Collision speed,0.0,0.0,0.0,1440
1x,2.0,budget_1x_2_ms_mesh-bvh_to_scene-bvh,scene-bvh,361,mesh-bvh,361,undetected_collision_rate,Undetected-collision rate,0.0,0.0,0.0,1440
1x,2.0,budget_1x_2_ms_true-brute_to_scene-bvh,scene-bvh,361,true-brute,17,safe_stop_rate,Safe-stop rate,0.38819444444444445,0.3638888888888889,0.4125,1440
1x,2.0,budget_1x_2_ms_true-brute_to_scene-bvh,scene-bvh,361,true-brute,17,detection_range,Detection range,2.2884477143178135,2.145465899956964,2.4266996784303907,1440
1x,2.0,budget_1x_2_ms_true-brute_to_scene-bvh,scene-bvh,361,true-brute,17,unbraked_ttc,Unbraked TTC,0.7833333333333329,0.7358327546296293,0.8297563657407402,1440
1x,2.0,budget_1x_2_ms_true-brute_to_scene-bvh,scene-bvh,361,true-brute,17,stopping_margin,Stopping margin,2.3499999999999983,2.2074982638888874,2.4892690972222207,1440
1x,2.0,budget_1x_2_ms_true-brute_to_scene-bvh,scene-bvh,361,true-brute,17,collision_speed,Collision speed,-0.675880113563041,-0.7256958468740767,-0.6250256552116371,1440
1x,2.0,budget_1x_2_ms_true-brute_to_scene-bvh,scene-bvh,361,true-brute,17,undetected_collision_rate,Undetected-collision rate,0.0,0.0,0.0,1440
1x,5.0,budget_1x_5_ms_true-brute_to_mesh-bvh,mesh-bvh,361,true-brute,129,safe_stop_rate,Safe-stop rate,0.0,0.0,0.0,1440
1x,5.0,budget_1x_5_ms_true-brute_to_mesh-bvh,mesh-bvh,361,true-brute,129,detection_range,Detection range,0.06931413880077676,0.052791342648885284,0.08695747006313585,1440
1x,5.0,budget_1x_5_ms_true-brute_to_mesh-bvh,mesh-bvh,361,true-brute,129,unbraked_ttc,Unbraked TTC,0.02569444444444445,0.02011516203703704,0.03166666666666667,1440
1x,5.0,budget_1x_5_ms_true-brute_to_mesh-bvh,mesh-bvh,361,true-brute,129,stopping_margin,Stopping margin,0.07708333333333338,0.06034548611111114,0.09500000000000004,1440
1x,5.0,budget_1x_5_ms_true-brute_to_mesh-bvh,mesh-bvh,361,true-brute,129,collision_speed,Collision speed,0.0,0.0,0.0,1440
1x,5.0,budget_1x_5_ms_true-brute_to_mesh-bvh,mesh-bvh,361,true-brute,129,undetected_collision_rate,Undetected-collision rate,0.0,0.0,0.0,1440
1x,5.0,budget_1x_5_ms_mesh-bvh_to_scene-bvh,scene-bvh,361,mesh-bvh,361,safe_stop_rate,Safe-stop rate,0.0,0.0,0.0,1440
1x,5.0,budget_1x_5_ms_mesh-bvh_to_scene-bvh,scene-bvh,361,mesh-bvh,361,detection_range,Detection range,0.0,0.0,0.0,1440
1x,5.0,budget_1x_5_ms_mesh-bvh_to_scene-bvh,scene-bvh,361,mesh-bvh,361,unbraked_ttc,Unbraked TTC,0.0,0.0,0.0,1440
1x,5.0,budget_1x_5_ms_mesh-bvh_to_scene-bvh,scene-bvh,361,mesh-bvh,361,stopping_margin,Stopping margin,0.0,0.0,0.0,1440
1x,5.0,budget_1x_5_ms_mesh-bvh_to_scene-bvh,scene-bvh,361,mesh-bvh,361,collision_speed,Collision speed,0.0,0.0,0.0,1440
1x,5.0,budget_1x_5_ms_mesh-bvh_to_scene-bvh,scene-bvh,361,mesh-bvh,361,undetected_collision_rate,Undetected-collision rate,0.0,0.0,0.0,1440
1x,5.0,budget_1x_5_ms_true-brute_to_scene-bvh,scene-bvh,361,true-brute,129,safe_stop_rate,Safe-stop rate,0.0,0.0,0.0,1440
1x,5.0,budget_1x_5_ms_true-brute_to_scene-bvh,scene-bvh,361,true-brute,129,detection_range,Detection range,0.06931413880077676,0.052791342648885284,0.08695747006313585,1440
1x,5.0,budget_1x_5_ms_true-brute_to_scene-bvh,scene-bvh,361,true-brute,129,unbraked_ttc,Unbraked TTC,0.02569444444444445,0.02011516203703704,0.03166666666666667,1440
1x,5.0,budget_1x_5_ms_true-brute_to_scene-bvh,scene-bvh,361,true-brute,129,stopping_margin,Stopping margin,0.07708333333333338,0.06034548611111114,0.09500000000000004,1440
1x,5.0,budget_1x_5_ms_true-brute_to_scene-bvh,scene-bvh,361,true-brute,129,collision_speed,Collision speed,0.0,0.0,0.0,1440
1x,5.0,budget_1x_5_ms_true-brute_to_scene-bvh,scene-bvh,361,true-brute,129,undetected_collision_rate,Undetected-collision rate,0.0,0.0,0.0,1440
1x,8.0,budget_1x_8_ms_true-brute_to_mesh-bvh,mesh-bvh,361,true-brute,129,safe_stop_rate,Safe-stop rate,0.0,0.0,0.0,1440
1x,8.0,budget_1x_8_ms_true-brute_to_mesh-bvh,mesh-bvh,361,true-brute,129,detection_range,Detection range,0.06931413880077676,0.052791342648885284,0.08695747006313585,1440
1x,8.0,budget_1x_8_ms_true-brute_to_mesh-bvh,mesh-bvh,361,true-brute,129,unbraked_ttc,Unbraked TTC,0.02569444444444445,0.02011516203703704,0.03166666666666667,1440
1x,8.0,budget_1x_8_ms_true-brute_to_mesh-bvh,mesh-bvh,361,true-brute,129,stopping_margin,Stopping margin,0.07708333333333338,0.06034548611111114,0.09500000000000004,1440
1x,8.0,budget_1x_8_ms_true-brute_to_mesh-bvh,mesh-bvh,361,true-brute,129,collision_speed,Collision speed,0.0,0.0,0.0,1440
1x,8.0,budget_1x_8_ms_true-brute_to_mesh-bvh,mesh-bvh,361,true-brute,129,undetected_collision_rate,Undetected-collision rate,0.0,0.0,0.0,1440
1x,8.0,budget_1x_8_ms_mesh-bvh_to_scene-bvh,scene-bvh,361,mesh-bvh,361,safe_stop_rate,Safe-stop rate,0.0,0.0,0.0,1440
1x,8.0,budget_1x_8_ms_mesh-bvh_to_scene-bvh,scene-bvh,361,mesh-bvh,361,detection_range,Detection range,0.0,0.0,0.0,1440
1x,8.0,budget_1x_8_ms_mesh-bvh_to_scene-bvh,scene-bvh,361,mesh-bvh,361,unbraked_ttc,Unbraked TTC,0.0,0.0,0.0,1440
1x,8.0,budget_1x_8_ms_mesh-bvh_to_scene-bvh,scene-bvh,361,mesh-bvh,361,stopping_margin,Stopping margin,0.0,0.0,0.0,1440
1x,8.0,budget_1x_8_ms_mesh-bvh_to_scene-bvh,scene-bvh,361,mesh-bvh,361,collision_speed,Collision speed,0.0,0.0,0.0,1440
1x,8.0,budget_1x_8_ms_mesh-bvh_to_scene-bvh,scene-bvh,361,mesh-bvh,361,undetected_collision_rate,Undetected-collision rate,0.0,0.0,0.0,1440
1x,8.0,budget_1x_8_ms_true-brute_to_scene-bvh,scene-bvh,361,true-brute,129,safe_stop_rate,Safe-stop rate,0.0,0.0,0.0,1440
1x,8.0,budget_1x_8_ms_true-brute_to_scene-bvh,scene-bvh,361,true-brute,129,detection_range,Detection range,0.06931413880077676,0.052791342648885284,0.08695747006313585,1440
1x,8.0,budget_1x_8_ms_true-brute_to_scene-bvh,scene-bvh,361,true-brute,129,unbraked_ttc,Unbraked TTC,0.02569444444444445,0.02011516203703704,0.03166666666666667,1440
