mode,ray_count,metric,metric_label,estimate,n_scenarios,n_measured
true-brute,17,collision_speed,Collision speed,0.675880113563041,1440,1440
true-brute,17,undetected_collision_rate,Undetected-collision rate,0.0,1440,1440
true-brute,33,safe_stop_rate,Safe-stop rate,0.9840277777777777,1440,1440
true-brute,33,detection_range,Detection range,3.886810173820266,1440,1440
true-brute,33,unbraked_ttc,Unbraked TTC,1.0781712962962964,1440,1440
true-brute,33,stopping_margin,Stopping margin,2.1095138888888894,1440,1440
true-brute,33,collision_speed,Collision speed,0.007142994928124122,1440,1440
true-brute,33,undetected_collision_rate,Undetected-collision rate,0.0,1440,1440
true-brute,65,safe_stop_rate,Safe-stop rate,1.0,1440,1440
true-brute,65,detection_range,Detection range,4.8515375114473445,1440,1440
true-brute,65,unbraked_ttc,Unbraked TTC,1.4075925925925925,1440,1440
true-brute,65,stopping_margin,Stopping margin,3.097777777777778,1440,1440
true-brute,65,collision_speed,Collision speed,0.0,1440,1440
true-brute,65,undetected_collision_rate,Undetected-collision rate,0.0,1440,1440
true-brute,129,safe_stop_rate,Safe-stop rate,1.0,1440,1440
true-brute,129,detection_range,Detection range,5.204340426180574,1440,1440
true-brute,129,unbraked_ttc,Unbraked TTC,1.5298611111111111,1440,1440
true-brute,129,stopping_margin,Stopping margin,3.464583333333333,1440,1440
true-brute,129,collision_speed,Collision speed,0.0,1440,1440
true-brute,129,undetected_collision_rate,Undetected-collision rate,0.0,1440,1440
true-brute,257,safe_stop_rate,Safe-stop rate,1.0,1440,1440
true-brute,257,detection_range,Detection range,5.257732433166022,1440,1440
true-brute,257,unbraked_ttc,Unbraked TTC,1.5491666666666666,1440,1440
true-brute,257,stopping_margin,Stopping margin,3.5225,1440,1440
true-brute,257,collision_speed,Collision speed,0.0,1440,1440
true-brute,257,undetected_collision_rate,Undetected-collision rate,0.0,1440,1440
true-brute,361,safe_stop_rate,Safe-stop rate,1.0,1440,1440
true-brute,361,detection_range,Detection range,5.273654564981351,1440,1440
true-brute,361,unbraked_ttc,Unbraked TTC,1.5555555555555556,1440,1440
true-brute,361,stopping_margin,Stopping margin,3.5416666666666665,1440,1440
true-brute,361,collision_speed,Collision speed,0.0,1440,1440
true-brute,361,undetected_collision_rate,Undetected-collision rate,0.0,1440,1440
