axis,object_count,mode,ray_count,lower_coordinate,lower_p95_ms,higher_coordinate,higher_p95_ms,p95_decrease_ms
ray_count,25,scene-bvh,,33,0.10202114999999996,65,0.05914824999999996,0.042872900000000005
ray_count,25,scene-bvh,,65,0.05914824999999996,129,0.05871425,0.00043399999999995525
ray_count,50,mesh-bvh,,257,1.338728849999999,361,0.6256377999999997,0.7130910499999993
ray_count,50,scene-bvh,,33,0.09636669999999996,65,0.06999789999999992,0.02636880000000004
ray_count,100,mesh-bvh,,9,0.5380458499999998,17,0.04926104999999999,0.48878479999999985
ray_count,100,scene-bvh,,129,1.7922520999999978,257,0.4338229499999998,1.3584291499999979
ray_count,100,true-brute,,65,9.802085449999996,129,7.849312499999999,1.9527729499999973
ray_count,400,scene-bvh,,65,0.28033989999999986,129,0.259079149999999,0.021260750000000883
ray_count,400,true-brute,,9,16.10744549999998,17,15.36927465,0.73817084999998
object_count,,mesh-bvh,9,100,0.5380458499999998,200,0.09714199999999992,0.4409038499999999
object_count,,mesh-bvh,65,50,0.22388779999999997,100,0.2127350999999999,0.011152700000000071
object_count,,mesh-bvh,257,50,1.338728849999999,100,0.7320014499999997,0.6067273999999993
object_count,,scene-bvh,9,50,0.007644399999999979,100,0.006879149999999999,0.0007652499999999804
object_count,,scene-bvh,17,50,0.04743299999999992,100,0.016160399999999988,0.03127259999999993
object_count,,scene-bvh,33,25,0.10202114999999996,50,0.09636669999999996,0.005654450000000005
object_count,,scene-bvh,33,50,0.09636669999999996,100,0.025768749999999993,0.07059794999999996
object_count,,scene-bvh,33,200,0.08066669999999995,400,0.049641649999999996,0.031025049999999957
object_count,,scene-bvh,65,50,0.06999789999999992,100,0.0486375,0.02136039999999992
object_count,,scene-bvh,129,100,1.7922520999999978,200,0.4840708499999997,1.308181249999998
object_count,,scene-bvh,129,200,0.4840708499999997,400,0.259079149999999,0.22499170000000074
object_count,,scene-bvh,257,200,0.9517003499999989,400,0.43028189999999955,0.5214184499999993
object_count,,scene-bvh,361,50,0.5309146,100,0.5011610499999996,0.02975355000000046
object_count,,scene-bvh,361,200,1.4527999999999996,400,0.9700805999999983,0.48271940000000135
object_count,,true-brute,17,100,3.702151799999984,200,2.3268371999999986,1.3753145999999852
object_count,,true-brute,361,50,27.80787949999999,100,23.492808649999976,4.315070850000016
