speed_mps,ray_count,safe_stop_rate
2.0,0,0.0
2.0,5,0.34479166666666666
2.0,9,0.4010416666666667
2.0,17,0.8666666666666667
2.0,33,1.0
2.0,65,1.0
2.0,129,1.0
2.0,257,1.0
2.0,361,1.0
3.0,0,0.0
3.0,5,0.34479166666666666
3.0,9,0.34479166666666666
3.0,17,0.615625
3.0,33,0.9895833333333334
3.0,65,1.0
3.0,129,1.0
3.0,257,1.0
3.0,361,1.0
4.0,0,0.0
4.0,5,0.34479166666666666
4.0,9,0.34479166666666666
4.0,17,0.34479166666666666
4.0,33,0.7802083333333333
4.0,65,1.0
4.0,129,1.0
4.0,257,1.0
4.0,361,1.0
