comparison_kind,speed_mps,lower_speed_mps,upper_speed_mps,budget_ms,transition,left_mode,left_ray_count,right_mode,right_ray_count,metric,difference,ci_low,ci_high,n_paired
adjacent_speed,,2.0,3.0,0.5,,scene-bvh,361,scene-bvh,361,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed,,2.0,3.0,1.0,,true-brute,17,true-brute,17,safe_stop_rate,-0.25104166666666666,-0.2791666666666667,-0.22497395833333336,960
adjacent_speed,,2.0,3.0,1.0,,mesh-bvh,361,mesh-bvh,361,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed,,2.0,3.0,1.0,,scene-bvh,361,scene-bvh,361,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed,,2.0,3.0,2.0,,true-brute,17,true-brute,17,safe_stop_rate,-0.25104166666666666,-0.2791666666666667,-0.22497395833333336,960
adjacent_speed,,2.0,3.0,2.0,,mesh-bvh,361,mesh-bvh,361,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed,,2.0,3.0,2.0,,scene-bvh,361,scene-bvh,361,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed,,2.0,3.0,5.0,,true-brute,129,true-brute,129,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed,,2.0,3.0,5.0,,mesh-bvh,361,mesh-bvh,361,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed,,2.0,3.0,5.0,,scene-bvh,361,scene-bvh,361,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed,,2.0,3.0,8.0,,true-brute,129,true-brute,129,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed,,2.0,3.0,8.0,,mesh-bvh,361,mesh-bvh,361,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed,,2.0,3.0,8.0,,scene-bvh,361,scene-bvh,361,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed,,2.0,3.0,11.910703750000001,,true-brute,361,true-brute,361,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed,,2.0,3.0,11.910703750000001,,mesh-bvh,361,mesh-bvh,361,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed,,2.0,3.0,11.910703750000001,,scene-bvh,361,scene-bvh,361,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed_fixed_ray,,2.0,3.0,,,true-brute,0,true-brute,0,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed_fixed_ray,,2.0,3.0,,,mesh-bvh,0,mesh-bvh,0,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed_fixed_ray,,2.0,3.0,,,scene-bvh,0,scene-bvh,0,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed_fixed_ray,,2.0,3.0,,,true-brute,5,true-brute,5,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed_fixed_ray,,2.0,3.0,,,mesh-bvh,5,mesh-bvh,5,safe_stop_rate,0.0,0.0,0.0,960
adjacent_speed_fixed_ray,,2.0,3.0,,,scene-bvh,5,scene-bvh,5,safe_stop_rate,0.0,0.0,0.0,960
