mode,budget_ms,seed,speed,collision_free_completion,reached_end,wall_contact,progress,distance_to_first_collision,collisions,distance,collisions_per_100m,predicted_k,avg_k,min_k,max_k,execution_overrun_pct
scene-bvh,0.50,1010,3.5,1,1,0,1.000000,-1.000000,0,124.110802,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,0.50,1011,3.5,0,0,0,0.063058,-1.000000,0,7.699408,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,0.50,1012,3.5,0,0,0,0.590970,-1.000000,0,73.278651,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,0.50,1013,3.5,0,0,0,0.688812,42.044406,1,84.295267,1.186306,361.00,361.000000,361,361,0.000000
scene-bvh,0.50,1014,3.5,0,1,0,1.000000,27.533204,1,123.676908,0.808558,361.00,361.000000,361,361,0.000000
scene-bvh,0.50,1015,3.5,0,0,0,0.718661,19.298541,1,87.279426,1.145745,361.00,361.000000,361,361,0.000000
scene-bvh,0.50,1016,3.5,0,0,0,0.465097,-1.000000,0,56.838151,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,0.50,1017,3.5,0,0,0,0.281673,-1.000000,0,34.215956,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,0.50,1018,3.5,0,0,0,0.582990,-1.000000,0,71.975253,0.000000,361.00,360.916486,284,361,0.108460
scene-bvh,0.50,1019,3.5,1,1,0,1.000000,-1.000000,0,123.171979,0.000000,361.00,360.966579,310,361,0.065531
scene-bvh,0.50,1020,3.5,0,0,0,0.126198,-1.000000,0,15.470965,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,0.50,1021,3.5,0,1,0,1.000000,42.378266,1,122.647832,0.815343,361.00,361.000000,361,361,0.000000
scene-bvh,0.50,1022,3.5,0,0,0,0.256089,-1.000000,0,31.608506,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,0.50,1023,3.5,0,0,0,0.929979,-1.000000,0,115.069810,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,0.50,1024,3.5,0,0,0,0.281952,-1.000000,0,34.538350,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,0.50,1025,3.5,0,0,0,0.621070,-1.000000,0,76.620688,0.000000,361.00,360.957427,316,361,0.094607
scene-bvh,0.50,1026,3.5,0,0,0,0.573544,-1.000000,0,70.921237,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,0.50,1027,3.5,0,0,0,0.200101,24.088175,1,24.501509,4.081381,361.00,361.000000,361,361,0.000000
scene-bvh,0.50,1028,3.5,0,0,0,0.421188,-1.000000,0,51.663188,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,0.50,1029,3.5,0,1,0,1.000000,112.303009,1,123.924983,0.806940,361.00,360.898719,187,361,0.058207
scene-bvh,0.50,1030,3.5,0,0,0,0.624870,11.625912,1,77.067948,1.297556,361.00,361.000000,361,361,0.000000
scene-bvh,0.50,1031,3.5,0,1,0,1.000000,57.422939,1,124.178534,0.805292,361.00,361.000000,361,361,0.000000
true-brute,1.00,1000,3.5,0,0,0,0.463540,13.793333,3,56.160000,5.341880,11.00,10.392849,0,11,99.953564
true-brute,1.00,1001,3.5,0,0,0,0.173999,17.166667,1,21.380000,4.677268,9.00,10.802120,2,11,100.000000
true-brute,1.00,1002,3.5,0,0,0,0.144347,6.346667,2,17.480000,11.441648,10.00,10.798016,0,11,99.929128
true-brute,1.00,1003,3.5,0,0,0,0.039429,-1.000000,0,4.820000,0.000000,9.00,10.662281,2,11,99.780702
true-brute,1.00,1004,3.5,0,0,0,0.037199,-1.000000,0,4.606667,0.000000,9.00,10.563636,1,11,100.000000
true-brute,1.00,1005,3.5,0,0,0,0.282442,29.140000,1,34.633333,2.887392,11.00,11.043834,2,12,99.739970
true-brute,1.00,1006,3.5,0,0,0,0.658894,15.006667,10,79.960000,12.506253,9.00,10.678167,0,11,99.983333
true-brute,1.00,1007,3.5,0,0,0,0.615864,38.393333,3,74.380000,4.033342,11.00,10.797814,0,11,99.982373
true-brute,1.00,1008,3.5,0,0,0,0.661340,17.166667,3,79.966667,3.751563,11.00,11.032333,1,12,99.916667
true-brute,1.00,1009,3.5,0,0,0,0.608222,10.446667,6,73.473333,8.166228,8.00,11.099554,0,12,100.000000
true-brute,1.00,1010,3.5,0,0,0,0.343967,12.260000,5,41.780000,11.967449,10.00,10.903036,0,12,99.969021
true-brute,1.00,1011,3.5,0,0,0,0.095143,-1.000000,0,11.735556,0.000000,10.00,10.826000,3,11,100.000000
true-brute,1.00,1012,3.5,0,0,0,0.478509,13.980000,3,57.900000,5.181347,8.00,10.677259,0,12,99.909849
true-brute,1.00,1013,3.5,0,0,0,0.390726,9.366667,4,47.393333,8.440006,11.00,10.852288,0,12,100.000000
true-brute,1.00,1014,3.5,0,0,0,0.527502,14.526667,6,63.933333,9.384776,11.00,10.882209,0,12,99.938650
true-brute,1.00,1015,3.5,0,0,0,0.147438,5.420000,2,18.153333,11.017260,10.00,11.065934,1,12,100.000000
true-brute,1.00,1016,3.5,0,0,0,0.160431,19.126667,1,19.780000,5.055612,10.00,10.077947,0,11,99.936629
true-brute,1.00,1017,3.5,0,0,0,0.390974,15.686667,4,47.513333,8.418689,10.00,9.801804,0,11,99.945325
true-brute,1.00,1018,3.5,0,0,0,0.395287,9.060000,3,48.086667,6.238736,10.00,10.922724,0,12,99.945961
true-brute,1.00,1019,3.5,0,0,0,0.660115,19.540000,6,79.966667,7.503126,10.00,10.366500,0,11,100.000000
true-brute,1.00,1020,3.5,0,0,0,0.208307,-1.000000,0,25.511111,0.000000,11.00,9.893010,0,11,100.000000
true-brute,1.00,1021,3.5,0,0,0,0.660222,7.280000,4,79.806667,5.012113,10.00,9.700833,0,11,99.983333
true-brute,1.00,1022,3.5,0,0,0,0.079741,7.420000,2,9.820000,20.366599,11.00,10.232250,0,12,100.000000
true-brute,1.00,1023,3.5,0,0,0,0.475868,10.860000,3,57.600000,5.208333,9.00,10.791045,1,11,100.000000
true-brute,1.00,1024,3.5,0,0,0,0.457995,23.140000,4,55.486667,7.208939,11.00,10.752820,0,11,100.000000
true-brute,1.00,1025,3.5,0,0,0,0.660526,16.566667,6,79.873333,7.511894,11.00,10.792000,0,12,99.933333
true-brute,1.00,1026,3.5,0,0,0,0.105470,5.460000,2,13.100000,15.267176,8.00,9.850511,0,11,99.907149
true-brute,1.00,1027,3.5,0,0,0,0.397300,6.646667,5,48.400000,10.330579,10.00,10.551447,1,11,99.973205
true-brute,1.00,1028,3.5,0,0,0,0.589778,29.953333,3,71.400000,4.201681,11.00,10.262752,0,11,100.000000
true-brute,1.00,1029,3.5,0,0,0,0.110712,10.913333,2,13.686667,14.612762,10.00,10.426405,0,11,99.910794
true-brute,1.00,1030,3.5,0,0,0,0.662502,21.673333,3,79.966667,3.751563,9.00,10.230667,0,11,99.950000
true-brute,1.00,1031,3.5,0,0,0,0.661783,13.246667,1,79.966667,1.250521,11.00,9.898000,0,11,100.000000
scene-bvh,1.00,1000,3.5,1,1,0,1.000000,-1.000000,0,122.638657,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,1.00,1001,3.5,1,1,0,1.000000,-1.000000,0,123.601650,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,1.00,1002,3.5,0,1,0,1.000000,16.853582,2,124.217010,1.610085,361.00,361.000000,361,361,0.000000
scene-bvh,1.00,1003,3.5,0,0,0,0.105668,-1.000000,0,12.935516,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,1.00,1004,3.5,0,0,0,0.386562,-1.000000,0,48.232372,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,1.00,1005,3.5,0,0,0,0.467177,-1.000000,0,58.002752,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,1.00,1006,3.5,1,1,0,1.000000,-1.000000,0,122.064956,0.000000,361.00,360.806681,89,361,0.071073
scene-bvh,1.00,1007,3.5,0,0,0,0.061730,-1.000000,0,7.689692,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,1.00,1008,3.5,0,0,0,0.495840,10.747612,2,61.834323,3.234450,361.00,361.000000,361,361,0.000000
scene-bvh,1.00,1009,3.5,0,0,0,0.117611,-1.000000,0,14.624314,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,1.00,1010,3.5,1,1,0,1.000000,-1.000000,0,124.110802,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,1.00,1011,3.5,0,0,0,0.063058,-1.000000,0,7.699408,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,1.00,1012,3.5,0,0,0,0.590970,-1.000000,0,73.278651,0.000000,361.00,361.000000,361,361,0.000000
scene-bvh,1.00,1013,3.5,0,0,0,0.688812,42.044406,1,84.295267,1.186306,361.00,361.000000,361,361,0.000000
scene-bvh,1.00,1014,3.5,0,1,0,1.000000,27.533204,1,123.679834,0.808539,361.00,358.855150,7,361,1.129568
scene-bvh,1.00,1015,3.5,0,0,0,0.718661,19.298541,1,87.279426,1.145745,361.00,360.875204,208,361,0.081566
