complexity,object_count,triangles_per_mesh,mode,ray_count,median_ms,p95_ms
4x,25,480,mesh-bvh,65,0.0393955,0.043716349999999994
4x,25,480,mesh-bvh,129,0.077541499999999999,0.08575205000000001
4x,25,480,mesh-bvh,257,0.153229,0.17435804999999999
4x,25,480,mesh-bvh,361,0.21650000000000003,0.2396354
4x,25,480,scene-bvh,0,4.1e-05,4.1999999999999998e-05
4x,25,480,scene-bvh,5,0.0021454999999999998,0.0035000000000000001
4x,25,480,scene-bvh,9,0.0045415000000000004,0.0061250000000000002
4x,25,480,scene-bvh,17,0.0087500000000000008,0.010544099999999999
4x,25,480,scene-bvh,33,0.016688000000000001,0.02137915
4x,25,480,scene-bvh,65,0.035250000000000004,0.043462149999999998
4x,25,480,scene-bvh,129,0.067708500000000005,0.086899999999999991
4x,25,480,scene-bvh,257,0.13025,0.16462705
4x,25,480,scene-bvh,361,0.18983349999999999,0.23021934999999996
4x,100,480,true-brute,0,4.1999999999999998e-05,4.1999999999999998e-05
4x,100,480,true-brute,5,1.1836034999999998,1.45808125
4x,100,480,true-brute,9,2.3649789999999999,2.7593152000000001
4x,100,480,true-brute,17,4.4812290000000008,5.8950124999999991
4x,100,480,true-brute,33,8.7260625000000012,10.52545625
4x,100,480,true-brute,65,16.842103999999999,21.886627399999991
4x,100,480,true-brute,129,34.693791500000003,47.14688125
4x,100,480,true-brute,257,64.253874999999994,74.851579149999992
4x,100,480,true-brute,361,88.727833000000004,104.07283299999996
4x,100,480,mesh-bvh,0,4.1999999999999998e-05,4.1999999999999998e-05
4x,100,480,mesh-bvh,5,0.010874999999999999,0.039051449999999953
4x,100,480,mesh-bvh,9,0.018520999999999999,0.032375349999999976
4x,100,480,mesh-bvh,17,0.036062999999999998,0.048929799999999968
4x,100,480,mesh-bvh,33,0.071957999999999994,0.098026749999999982
4x,100,480,mesh-bvh,65,0.1435835,0.18791699999999995
4x,100,480,mesh-bvh,129,0.26268800000000003,0.36063539999999994
4x,100,480,mesh-bvh,257,0.5350625,0.71195689999999989
4x,100,480,mesh-bvh,361,0.90752100000000002,1.9018728999999985
4x,100,480,scene-bvh,0,4.1e-05,4.1999999999999998e-05
4x,100,480,scene-bvh,5,0.0023544999999999998,0.0034600999999999994
4x,100,480,scene-bvh,9,0.0057499999999999999,0.0080461499999999984
4x,100,480,scene-bvh,17,0.0116875,0.016341349999999998
4x,100,480,scene-bvh,33,0.027124499999999999,0.037670799999999983
4x,100,480,scene-bvh,65,0.045999999999999999,0.062239249999999989
4x,100,480,scene-bvh,129,0.10220849999999999,0.2197520999999997
4x,100,480,scene-bvh,257,0.22422900000000001,0.47849519999999984
4x,100,480,scene-bvh,361,0.29314649999999998,0.45043574999999964
4x,400,480,true-brute,0,4.1999999999999998e-05,4.1999999999999998e-05
4x,400,480,true-brute,5,5.6108750000000001,7.307088949999998
4x,400,480,true-brute,9,11.0479795,15.31659999999996
4x,400,480,true-brute,17,21.611457999999999,29.719391349999992
4x,400,480,true-brute,33,41.882541500000002,60.173817299999861
4x,400,480,true-brute,65,87.958333499999995,143.11568990000001
4x,400,480,true-brute,129,210.67583300000001,440.45855834999981
4x,400,480,true-brute,257,343.43672949999996,457.89445834999998
4x,400,480,true-brute,361,484.11039599999998,628.55413749999946
4x,400,480,mesh-bvh,0,4.1999999999999998e-05,8.3999999999999995e-05
4x,400,480,mesh-bvh,5,0.055,0.064183649999999995
4x,400,480,mesh-bvh,9,0.1038335,0.12075419999999999
4x,400,480,mesh-bvh,17,0.21983349999999999,0.46737919999999999
4x,400,480,mesh-bvh,33,0.41899999999999998,0.83042499999999952
4x,400,480,mesh-bvh,65,0.87933349999999999,2.4007110499999991
4x,400,480,mesh-bvh,129,1.6545835,2.0905604499999995
4x,400,480,mesh-bvh,257,3.3275005000000002,4.9682895499999971
4x,400,480,mesh-bvh,361,4.3201669999999996,5.594471149999996
4x,400,480,scene-bvh,0,4.1999999999999998e-05,4.1999999999999998e-05
4x,400,480,scene-bvh,5,0.0039160000000000002,0.0070124999999999962
4x,400,480,scene-bvh,9,0.0088749999999999992,0.013586050000000001
4x,400,480,scene-bvh,17,0.017687999999999999,0.024673250000000001
4x,400,480,scene-bvh,33,0.036395999999999998,0.046960099999999998
4x,400,480,scene-bvh,65,0.073749999999999996,0.098106249999999964
4x,400,480,scene-bvh,129,0.146208,0.17941839999999998
4x,400,480,scene-bvh,257,0.283271,0.35693124999999998
4x,400,480,scene-bvh,361,0.40649999999999997,0.48310865000000003
16x,25,1920,true-brute,0,4.1999999999999998e-05,8.3999999999999995e-05
16x,25,1920,true-brute,5,1.742521,2.4290214999999997
16x,25,1920,true-brute,9,3.065979,3.8175003499999995
16x,25,1920,true-brute,17,5.5342920000000007,8.4829249999999981
16x,25,1920,true-brute,33,9.5959165000000013,11.566360399999999
16x,25,1920,true-brute,65,24.813645999999999,71.766454149999959
16x,25,1920,true-brute,129,43.327562999999998,56.723431249999969
16x,25,1920,true-brute,257,79.4296875,100.99918604999996
16x,25,1920,true-brute,361,98.010499500000009,124.16590864999996
16x,25,1920,mesh-bvh,0,4.1999999999999998e-05,4.1999999999999998e-05
16x,25,1920,mesh-bvh,5,0.0034169999999999999,0.0051690499999999988
16x,25,1920,mesh-bvh,9,0.0053749999999999996,0.0073791999999999981
16x,25,1920,mesh-bvh,17,0.011207999999999999,0.013754199999999999
16x,25,1920,mesh-bvh,33,0.022291999999999999,0.025087149999999999
16x,25,1920,mesh-bvh,65,0.044645499999999998,0.051335099999999995
16x,25,1920,mesh-bvh,129,0.09635450000000001,0.115692
16x,25,1920,mesh-bvh,257,0.18935399999999999,0.23399999999999987
16x,25,1920,mesh-bvh,361,0.26041700000000001,0.34285659999999996
16x,25,1920,scene-bvh,0,4.1999999999999998e-05,4.1999999999999998e-05
16x,25,1920,scene-bvh,5,0.0022499999999999998,0.0032520999999999991
16x,25,1920,scene-bvh,9,0.0053544999999999999,0.017287499999999987
16x,25,1920,scene-bvh,17,0.0096039999999999997,0.012135399999999998
16x,25,1920,scene-bvh,33,0.021062500000000001,0.033383349999999999
16x,25,1920,scene-bvh,65,0.040541000000000001,0.054310399999999981
16x,25,1920,scene-bvh,129,0.079000000000000001,0.10686634999999998
16x,25,1920,scene-bvh,257,0.15808349999999999,0.21159549999999999
16x,25,1920,scene-bvh,361,0.2536255,0.31260269999999996
16x,100,1920,true-brute,0,4.1999999999999998e-05,4.1999999999999998e-05
16x,100,1920,true-brute,5,5.4709380000000003,5.9189354499999993
16x,100,1920,true-brute,9,11.6694795,17.790848199999989
16x,100,1920,true-brute,17,19.52375,23.626376799999981
16x,100,1920,true-brute,33,38.617333000000002,119.76050239999989
16x,100,1920,true-brute,65,92.834228999999993,193.44604794999998
16x,100,1920,true-brute,129,78.875458000000009,105.43408539999999
16x,100,1920,true-brute,257,224.39404150000001,313.77603749999986
